C6-77,306862.525,6691992.736,41.993,,26/11/2024 15:54:14.000
C6-78,306862.524,6691992.735,41.988,,26/11/2024 15:54:15.000
C6-79,306862.523,6691992.733,41.988,,26/11/2024 15:54:16.000
C6-80,306862.521,6691992.729,41.986,,26/11/2024 15:54:17.000
C6-81,306862.518,6691992.732,41.986,,26/11/2024 15:54:18.000
C6-82,306862.519,6691992.735,41.990,,26/11/2024 15:54:19.000
C6-83,306862.519,6691992.734,41.991,,26/11/2024 15:54:20.000
C6-84,306862.519,6691992.735,41.990,,26/11/2024 15:54:21.000
C6-85,306862.517,6691992.735,41.981,,26/11/2024 15:54:22.000
C6-86,306862.516,6691992.737,41.992,,26/11/2024 15:54:23.000
C6-87,306862.516,6691992.736,41.990,,26/11/2024 15:54:24.000
C6-88,306862.515,6691992.735,41.993,,26/11/2024 15:54:25.000
C6-89,306862.516,6691992.736,41.996,,26/11/2024 15:54:26.000
C6-90,306862.514,6691992.737,41.991,,26/11/2024 15:54:27.000
C6-91,306862.516,6691992.741,41.996,,26/11/2024 15:54:28.000
C6-92,306862.513,6691992.741,41.996,,26/11/2024 15:54:29.000
C6-93,306862.515,6691992.739,41.987,,26/11/2024 15:54:30.000
C6-94,306862.514,6691992.742,42.003,,26/11/2024 15:54:31.000
C6-95,306862.514,6691992.739,41.990,,26/11/2024 15:54:32.000
C6-96,306862.513,6691992.738,41.995,,26/11/2024 15:54:33.000
C6-97,306862.509,6691992.734,41.992,,26/11/2024 15:54:34.000
C6-98,306862.516,6691992.736,41.997,,26/11/2024 15:54:35.000
C6-99,306862.518,6691992.738,42.004,,26/11/2024 15:54:36.000
C6-100,306862.519,6691992.739,42.001,,26/11/2024 15:54:37.000
C6-101,306862.518,6691992.735,41.997,,26/11/2024 15:54:38.000
C6-102,306862.519,6691992.737,42.002,,26/11/2024 15:54:39.000
C6-103,306862.520,6691992.731,41.998,,26/11/2024 15:54:40.000
C6-104,306862.521,6691992.731,41.998,,26/11/2024 15:54:41.000
C6-105,306862.525,6691992.732,41.997,,26/11/2024 15:54:42.000
C6-106,306862.523,6691992.730,41.996,,26/11/2024 15:54:43.000
C6-107,306862.521,6691992.731,41.992,,26/11/2024 15:54:44.000
C6-108,306862.520,6691992.734,41.997,,26/11/2024 15:54:45.000
C6-109,306862.524,6691992.730,41.995,,26/11/2024 15:54:46.000
C6-110,306862.526,6691992.726,41.984,,26/11/2024 15:54:47.000
C6-111,306862.526,6691992.729,41.991,,26/11/2024 15:54:48.000
C6-112,306862.525,6691992.727,41.981,,26/11/2024 15:54:49.000
C6-113,306862.527,6691992.728,41.988,,26/11/2024 15:54:50.000
C6-114,306862.529,6691992.730,41.982,,26/11/2024 15:54:51.000
C6-115,306862.529,6691992.724,41.984,,26/11/2024 15:54:52.000
C6-116,306862.527,6691992.728,41.983,,26/11/2024 15:54:53.000
C6-117,306862.530,6691992.723,41.981,,26/11/2024 15:54:54.000
C6-118,306862.526,6691992.726,41.980,,26/11/2024 15:54:55.000
C6-119,306862.527,6691992.727,41.982,,26/11/2024 15:54:56.000
