Time,Roll_calc,Pitch_calc,Heading_calc,Pitch_octans,Roll_octans,Heading_octans,Roll_diff,Pitch_diff,Heading_diff
10:49:24,4.579983152715672,2.194205618305303,0.03934865104505043,-0.67,0.69,124.24,3.8899831527156716,2.864205618305303,-124.20065134895495
10:49:26,3.9440366956214263,2.6257151741006166,0.03125419637773032,-0.71,-0.1,124.29,4.044036695621426,3.3357151741006166,-124.25874580362228
10:49:27,3.668410269936595,2.8083550349284825,0.02622193198634975,-0.69,-0.43,124.37,4.098410269936595,3.4983550349284824,-124.34377806801365
10:49:28,3.505031131198679,2.8629982550217568,0.022457222432489547,-0.66,-0.69,124.46,4.195031131198679,3.522998255021757,-124.4375427775675
10:49:29,3.5128276338150135,2.802368179090409,0.02223934143766643,-0.62,-0.74,124.55,4.252827633815014,3.4223681790904092,-124.52776065856233
10:49:30,3.6683708694218238,2.644369467364317,0.024864729657012023,-0.56,-0.59,124.6,4.258370869421824,3.2043694673643173,-124.57513527034298
10:49:31,3.9488450381652016,2.4288553191988935,0.029258286487017286,-0.53,-0.29,124.62,4.238845038165201,2.9588553191988938,-124.59074171351298
10:49:32,4.301329044349585,2.212882798082934,0.03404070513537887,-0.54,0.1,124.61,4.201329044349586,2.752882798082934,-124.57595929486462
10:49:33,4.640934748543323,2.0449460581863423,0.038064551940684074,-0.58,0.5,124.58,4.140934748543323,2.6249460581863424,-124.54193544805932
10:49:34,4.915798339864504,1.9432649772251072,0.0412486002173266,-0.65,0.84,124.55,4.075798339864504,2.593264977225107,-124.50875139978267
10:49:35,5.119235908014601,1.9271380592999034,0.04452916585342493,-0.74,1.07,124.52,4.049235908014601,2.667138059299903,-124.47547083414658
10:49:36,5.158678856294795,1.9668257066086763,0.046069691552427204,-0.81,1.14,124.53,4.0186788562947955,2.776825706608676,-124.48393030844757
10:49:37,5.064219757718785,2.053301412255329,0.046139112161301434,-0.85,1.07,124.55,3.994219757718785,2.903301412255329,-124.5038608878387
10:49:38,4.832009110103509,2.1678637993703886,0.04389733304358485,-0.83,0.84,124.58,3.992009110103509,2.9978637993703887,-124.53610266695641
10:49:40,4.102222687661253,2.4556285441916996,0.032958470910307715,-0.65,0.11,124.57,3.9922226876612528,3.1056285441916995,-124.53704152908969
10:49:41,3.7398117036962217,2.605221250897063,0.02622402243507148,-0.57,-0.26,124.55,3.9998117036962215,3.1752212508970628,-124.52377597756492
10:49:42,3.5383039351167263,2.7222172014406056,0.022311518318747697,-0.54,-0.55,124.53,4.088303935116726,3.2622172014406057,-124.50768848168126
10:49:43,3.4992644913939874,2.8120811104491,0.02196246233856074,-0.57,-0.69,124.54,4.189264491393987,3.3820811104491,-124.51803753766144
10:49:48,4.55134276581015,2.0444838825734077,0.036384424300643356,-0.6,0.44,124.77,4.11134276581015,2.644483882573408,-124.73361557569935
10:49:49,4.517245252933332,2.1500221957696075,0.03740274816643803,-0.55,0.68,124.84,3.837245252933332,2.7000221957696073,-124.80259725183356
10:49:50,4.723197527410646,1.878278272694049,0.03668760290640401,-0.52,0.82,124.89,3.903197527410646,2.398278272694049,-124.8533123970936
10:49:51,4.723119245616222,1.8435948601605436,0.0360801262231053,-0.52,0.88,124.9,3.843119245616222,2.3635948601605437,-124.8639198737769
10:49:52,4.754635322642153,1.9320539913672867,0.03818343834774672,-0.56,0.85,124.88,3.9046353226421533,2.492053991367287,-124.84181656165225
10:49:53,4.6821629820351625,2.0953708658626007,0.03969757158767321,-0.65,0.74,124.85,3.9421629820351622,2.7453708658626006,-124.81030242841233
10:49:54,4.574864472795134,2.287976700865169,0.04076395019505736,-0.76,0.57,124.82,4.004864472795134,3.047976700865169,-124.77923604980494
10:49:55,4.436974363385482,2.5140363284975105,0.04128332766271513,-0.86,0.34,124.81,4.096974363385482,3.3740363284975103,-124.76871667233729
10:49:56,4.247697823995335,2.6756074770074996,0.03912787574044588,-0.91,0.09,124.83,4.157697823995335,3.5856074770074997,-124.79087212425955
10:49:57,4.053736593665885,2.783923110317255,0.03569911908182209,-0.92,-0.15,124.86,4.2037365936658855,3.703923110317255,-124.82430088091817
10:49:58,3.88117229012791,2.8042102387221135,0.03156976755486331,-0.85,-0.34,124.9,4.22117229012791,3.6542102387221136,-124.86843023244515
10:49:59,3.7758625761442075,2.7448639716343544,0.028359263366604003,-0.74,-0.44,124.94,4.2158625761442075,3.484863971634354,-124.91164073663339
10:50:00,3.7512642400917757,2.587082706939681,0.026330698631612342,-0.62,-0.42,124.97,4.171264240091776,3.2070827069396812,-124.94366930136839
10:50:01,3.8524128220890423,2.410644361020021,0.02695504970269834,-0.52,-0.3,124.97,4.152412822089042,2.930644361020021,-124.9430449502973
