C12-77,306721.274,6692040.239,50.021,,24/11/2024 16:26:59.000
C12-78,306721.273,6692040.242,50.029,,24/11/2024 16:27:00.000
C12-79,306721.269,6692040.241,50.020,,24/11/2024 16:27:01.000
C12-80,306721.273,6692040.240,50.028,,24/11/2024 16:27:02.000
C12-81,306721.274,6692040.243,50.025,,24/11/2024 16:27:03.000
C12-82,306721.272,6692040.242,50.025,,24/11/2024 16:27:04.000
C12-83,306721.270,6692040.240,50.025,,24/11/2024 16:27:05.000
C12-84,306721.273,6692040.239,50.033,,24/11/2024 16:27:06.000
C12-85,306721.273,6692040.241,50.026,,24/11/2024 16:27:07.000
C12-86,306721.270,6692040.242,50.034,,24/11/2024 16:27:08.000
C12-87,306721.271,6692040.241,50.032,,24/11/2024 16:27:09.000
C12-88,306721.271,6692040.241,50.029,,24/11/2024 16:27:10.000
C12-89,306721.272,6692040.240,50.033,,24/11/2024 16:27:11.000
C12-90,306721.274,6692040.241,50.036,,24/11/2024 16:27:12.000
C12-91,306721.272,6692040.245,50.036,,24/11/2024 16:27:13.000
C12-92,306721.274,6692040.241,50.033,,24/11/2024 16:27:14.000
C12-93,306721.271,6692040.239,50.031,,24/11/2024 16:27:15.000
C12-94,306721.275,6692040.241,50.032,,24/11/2024 16:27:16.000
C12-95,306721.274,6692040.241,50.042,,24/11/2024 16:27:17.000
C12-96,306721.274,6692040.241,50.043,,24/11/2024 16:27:18.000
C12-97,306721.268,6692040.240,50.035,,24/11/2024 16:27:19.000
C12-98,306721.274,6692040.239,50.034,,24/11/2024 16:27:20.000
C12-99,306721.272,6692040.238,50.031,,24/11/2024 16:27:21.000
C12-100,306721.275,6692040.237,50.033,,24/11/2024 16:27:22.000
C12-101,306721.274,6692040.241,50.036,,24/11/2024 16:27:23.000
C12-102,306721.272,6692040.239,50.034,,24/11/2024 16:27:24.000
C12-103,306721.273,6692040.239,50.033,,24/11/2024 16:27:25.000
C12-104,306721.274,6692040.238,50.037,,24/11/2024 16:27:26.000
C12-105,306721.273,6692040.235,50.034,,24/11/2024 16:27:27.000
C12-106,306721.274,6692040.239,50.031,,24/11/2024 16:27:28.000
C12-107,306721.272,6692040.236,50.039,,24/11/2024 16:27:29.000
C12-108,306721.273,6692040.240,50.036,,24/11/2024 16:27:30.000
C12-109,306721.277,6692040.237,50.042,,24/11/2024 16:27:31.000
C12-110,306721.273,6692040.236,50.035,,24/11/2024 16:27:32.000
C12-111,306721.271,6692040.240,50.041,,24/11/2024 16:27:33.000
C12-112,306721.273,6692040.241,50.035,,24/11/2024 16:27:34.000
C12-113,306721.273,6692040.244,50.046,,24/11/2024 16:27:35.000
C12-114,306721.269,6692040.240,50.037,,24/11/2024 16:27:36.000
C12-115,306721.272,6692040.240,50.050,,24/11/2024 16:27:37.000
C12-116,306721.267,6692040.239,50.032,,24/11/2024 16:27:38.000
C12-117,306721.270,6692040.243,50.038,,24/11/2024 16:27:39.000
C12-118,306721.268,6692040.242,50.042,,24/11/2024 16:27:40.000
C12-119,306721.272,6692040.241,50.031,,24/11/2024 16:27:41.000
C12-120,306721.274,6692040.240,50.043,,24/11/2024 16:27:42.000
C12-121,306721.270,6692040.243,50.040,,24/11/2024 16:27:43.000
C12-122,306721.270,6692040.242,50.045,,24/11/2024 16:27:44.000
C12-123,306721.275,6692040.240,50.043,,24/11/2024 16:27:45.000
C12-124,306721.270,6692040.240,50.049,,24/11/2024 16:27:46.000
C12-125,306721.274,6692040.242,50.058,,24/11/2024 16:27:47.000
C12-126,306721.270,6692040.238,50.036,,24/11/2024 16:27:48.000
C12-127,306721.273,6692040.240,50.039,,24/11/2024 16:27:49.000
C12-128,306721.274,6692040.239,50.050,,24/11/2024 16:27:50.000
C12-129,306721.274,6692040.240,50.047,,24/11/2024 16:27:51.000
C12-130,306721.271,6692040.240,50.046,,24/11/2024 16:27:52.000
C12-131,306721.271,6692040.240,50.048,,24/11/2024 16:27:53.000
C12-132,306721.271,6692040.240,50.046,,24/11/2024 16:27:54.000
C12-133,306721.271,6692040.241,50.053,,24/11/2024 16:27:55.000
C12-134,306721.270,6692040.239,50.054,,24/11/2024 16:27:56.000
C12-135,306721.274,6692040.243,50.047,,24/11/2024 16:27:57.000
C12-136,306721.267,6692040.239,50.045,,24/11/2024 16:27:58.000
C12-137,306721.269,6692040.240,50.044,,24/11/2024 16:27:59.000
C12-138,306721.272,6692040.242,50.057,,24/11/2024 16:28:00.000
C12-139,306721.270,6692040.243,50.040,,24/11/2024 16:28:01.000
C12-140,306721.271,6692040.244,50.053,,24/11/2024 16:28:02.000
C12-141,306721.269,6692040.244,50.045,,24/11/2024 16:28:03.000
C12-142,306721.271,6692040.241,50.053,,24/11/2024 16:28:04.000
C12-143,306721.269,6692040.243,50.050,,24/11/2024 16:28:05.000
C12-144,306721.271,6692040.241,50.054,,24/11/2024 16:28:06.000
C12-145,306721.273,6692040.243,50.056,,24/11/2024 16:28:07.000
C12-146,306721.273,6692040.243,50.057,,24/11/2024 16:28:08.000
C12-147,306721.274,6692040.241,50.055,,24/11/2024 16:28:09.000
C12-148,306721.271,6692040.241,50.052,,24/11/2024 16:28:10.000
C12-149,306721.276,6692040.239,50.053,,24/11/2024 16:28:11.000
C12-150,306721.275,6692040.239,50.051,,24/11/2024 16:28:12.000
C12-151,306721.273,6692040.241,50.053,,24/11/2024 16:28:13.000
C12-152,306721.271,6692040.241,50.057,,24/11/2024 16:28:14.000
C12-153,306721.272,6692040.240,50.055,,24/11/2024 16:28:15.000
C12-154,306721.273,6692040.241,50.046,,24/11/2024 16:28:16.000
C12-155,306721.275,6692040.241,50.048,,24/11/2024 16:28:17.000
C12-156,306721.269,6692040.239,50.050,,24/11/2024 16:28:18.000
C12-157,306721.272,6692040.241,50.059,,24/11/2024 16:28:19.000
C12-158,306721.275,6692040.243,50.050,,24/11/2024 16:28:20.000
C12-159,306721.271,6692040.243,50.054,,24/11/2024 16:28:21.000
C12-160,306721.272,6692040.242,50.050,,24/11/2024 16:28:22.000
C12-161,306721.271,6692040.242,50.039,,24/11/2024 16:28:23.000
C12-162,306721.273,6692040.240,50.042,,24/11/2024 16:28:24.000
C12-163,306721.273,6692040.244,50.048,,24/11/2024 16:28:25.000
C12-164,306721.271,6692040.244,50.052,,24/11/2024 16:28:26.000
C12-165,306721.272,6692040.244,50.055,,24/11/2024 16:28:27.000
C12-166,306721.273,6692040.240,50.048,,24/11/2024 16:28:28.000
C12-167,306721.272,6692040.242,50.051,,24/11/2024 16:28:29.000
C12-168,306721.274,6692040.239,50.047,,24/11/2024 16:28:30.000
C12-169,306721.275,6692040.240,50.048,,24/11/2024 16:28:31.000
C12-170,306721.274,6692040.239,50.045,,24/11/2024 16:28:32.000
C12-171,306721.273,6692040.240,50.045,,24/11/2024 16:28:33.000
C12-172,306721.273,6692040.238,50.045,,24/11/2024 16:28:34.000
C12-173,306721.273,6692040.239,50.044,,24/11/2024 16:28:35.000
C12-174,306721.273,6692040.240,50.049,,24/11/2024 16:28:36.000
C12-175,306721.273,6692040.240,50.051,,24/11/2024 16:28:37.000
C12-176,306721.278,6692040.238,50.041,,24/11/2024 16:28:38.000
C12-177,306721.273,6692040.239,50.049,,24/11/2024 16:28:39.000
C12-178,306721.275,6692040.234,50.041,,24/11/2024 16:28:40.000
C12-179,306721.274,6692040.236,50.042,,24/11/2024 16:28:41.000
C12-180,306721.272,6692040.241,50.056,,24/11/2024 16:28:42.000
C12-181,306721.269,6692040.241,50.059,,24/11/2024 16:28:43.000
C12-182,306721.269,6692040.238,50.050,,24/11/2024 16:28:44.000
